analysis_id,"analysis_name","stratum_1_name","stratum_2_name","stratum_3_name","stratum_4_name","stratum_5_name","chartType","dataType"
603,"Number of distinct procedure occurrence concepts per person","","","","","","column","counts"
606,"Distribution of age by procedure_concept_id","procedure_concept_id","gender_concept_id","","","","box","distribution"
11,"Number of non-deceased persons by year of birth by gender","year_of_birth","gender_concept_id","","","","column","counts"
2002,"Number of patients with at least 1 Meas, 1 Dx and 1 Rx","","","","","","column","counts"
0,"Source name","","","","","","column","counts"
12,"Number of persons by race and ethnicity","race_concept_id","ethnicity_concept_id","","","","pie","counts"
2001,"Number of patients with at least 1 Dx and 1 Proc","","","","","","column","counts"
1815,"Distribution of numeric values, by measurement_concept_id and unit_concept_id","","","","","","column","counts"
3,"Number of persons by year of birth","year_of_birth","","","","","column","counts"
2000,"Number of patients with at least 1 Dx and 1 Rx","","","","","","column","counts"
10,"Number of all persons by year of birth by gender","year_of_birth","gender_concept_id","","","","column","counts"
2003,"Number of patients with at least 1 Visit","","","","","","column","counts"
1817,"Distribution of high range, by observation_concept_id and unit_concept_id","","","","","","column","counts"
1,"Number of persons","","","","","","column","counts"
1816,"Distribution of low range, by measurement_concept_id and unit_concept_id","","","","","","column","counts"
4,"Number of persons by race","race_concept_id","","","","","pie","counts"
2,"Number of persons by sex at birth (ppi variable","gender_concept_id","","","","","column","counts"
5,"Number of persons by ethnicity","ethnicity_concept_id","","","","","column","counts"
3000,"Participant Count","concept_id",NULL,NULL,NULL,NULL,"column","counts"
3006,"Distribution of age by gender","concept_id","gender_concept_id","","","","box","distribution"
3004,"Number of persons with at least one concept by concept_id by calendar year by gender by age decile","concept_id","calendar year","gender_concept_id","age decile","","column","counts"
3001,"Gender Stratification","concept_id","ppi_sex_at_birth_concept_id",NULL,NULL,NULL,"pie","counts"
3002,"Age Stratification","concept_id","age_decile","null","null","","column","counts"
